employer_name,city,state,occupation,soc_code,job_title,estimated_headcount,headcount_confidence,salary_min,salary_median,salary_max,salary_confidence,location_confidence,overall_confidence,industry,inference_source,record_type
Brigham and Women's Hospital,Boston,MA,physicians,29-1216,Physicians,1440,0.63,151404,252340,366030,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,medical_technicians,,Medical Technicians,2160,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,healthcare_support,,Healthcare Support,2700,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,2700,0.63,29352,48920,73276,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,management,11-1021,General and Operations Managers,900,0.63,86136,143560,225890,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,facilities,,Facilities,900,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,other,,Other,2700,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,registered_nurses,29-1141,Registered Nurses,3000,0.63,59004,98340,146552,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,physicians,29-1216,Physicians,960,0.63,151404,252340,366030,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,medical_technicians,,Medical Technicians,1440,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,healthcare_support,,Healthcare Support,1800,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,1800,0.63,29352,48920,73276,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,management,11-1021,General and Operations Managers,600,0.63,86136,143560,225890,0.85,0.9,0.482,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,facilities,,Facilities,600,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,other,,Other,1800,0.63,36552,60920,106778,0.6,0.9,0.34,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,registered_nurses,29-1141,Registered Nurses,2000,0.595,59004,98340,146552,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,physicians,29-1216,Physicians,640,0.595,151404,252340,366030,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,medical_technicians,,Medical Technicians,960,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,healthcare_support,,Healthcare Support,1200,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,1200,0.595,29352,48920,73276,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,management,11-1021,General and Operations Managers,400,0.595,86136,143560,225890,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,facilities,,Facilities,400,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,other,,Other,1200,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,registered_nurses,29-1141,Registered Nurses,1250,0.595,59004,98340,146552,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,physicians,29-1216,Physicians,400,0.595,151404,252340,366030,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,medical_technicians,,Medical Technicians,600,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,healthcare_support,,Healthcare Support,750,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,750,0.595,29352,48920,73276,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,management,11-1021,General and Operations Managers,250,0.595,86136,143560,225890,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,facilities,,Facilities,250,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Dana-Farber Cancer Institute,Boston,MA,other,,Other,750,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,registered_nurses,29-1141,Registered Nurses,1125,0.595,59004,98340,146552,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,physicians,29-1216,Physicians,360,0.595,151404,252340,366030,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,medical_technicians,,Medical Technicians,540,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,healthcare_support,,Healthcare Support,675,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,675,0.595,29352,48920,73276,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,management,11-1021,General and Operations Managers,225,0.595,86136,143560,225890,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,facilities,,Facilities,225,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Tufts Medical Center,Boston,MA,other,,Other,675,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,registered_nurses,29-1141,Registered Nurses,3750,0.595,59004,98340,146552,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,physicians,29-1216,Physicians,1200,0.595,151404,252340,366030,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,medical_technicians,,Medical Technicians,1800,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,healthcare_support,,Healthcare Support,2250,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,administrative,43-6014,Secretaries and Administrative Assistants,2250,0.595,29352,48920,73276,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,management,11-1021,General and Operations Managers,750,0.595,86136,143560,225890,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,facilities,,Facilities,750,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,other,,Other,2250,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,registered_nurses,29-1141,Registered Nurses,3000,0.595,59004,98340,146552,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,physicians,29-1216,Physicians,960,0.595,151404,252340,366030,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,medical_technicians,,Medical Technicians,1440,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,healthcare_support,,Healthcare Support,1800,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,administrative,43-6014,Secretaries and Administrative Assistants,1800,0.595,29352,48920,73276,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,management,11-1021,General and Operations Managers,600,0.595,86136,143560,225890,0.85,0.9,0.455,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,facilities,,Facilities,600,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Baystate Health,Springfield,MA,other,,Other,1800,0.595,36552,60920,106778,0.6,0.9,0.321,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,registered_nurses,29-1141,Registered Nurses,1000,0.56,59004,98340,146552,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,physicians,29-1216,Physicians,320,0.56,151404,252340,366030,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,medical_technicians,,Medical Technicians,480,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,healthcare_support,,Healthcare Support,600,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,administrative,43-6014,Secretaries and Administrative Assistants,600,0.56,29352,48920,73276,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,management,11-1021,General and Operations Managers,200,0.56,86136,143560,225890,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,facilities,,Facilities,200,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Lahey Hospital & Medical Center,Burlington,MA,other,,Other,600,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,registered_nurses,29-1141,Registered Nurses,1000,0.56,59004,98340,146552,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,physicians,29-1216,Physicians,320,0.56,151404,252340,366030,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,medical_technicians,,Medical Technicians,480,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,healthcare_support,,Healthcare Support,600,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,600,0.56,29352,48920,73276,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,management,11-1021,General and Operations Managers,200,0.56,86136,143560,225890,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,facilities,,Facilities,200,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Cambridge Health Alliance,Cambridge,MA,other,,Other,600,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,registered_nurses,29-1141,Registered Nurses,625,0.56,59004,98340,146552,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,physicians,29-1216,Physicians,200,0.56,151404,252340,366030,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,medical_technicians,,Medical Technicians,300,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,healthcare_support,,Healthcare Support,375,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,375,0.56,29352,48920,73276,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,management,11-1021,General and Operations Managers,125,0.56,86136,143560,225890,0.85,0.9,0.428,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,facilities,,Facilities,125,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Mount Auburn Hospital,Cambridge,MA,other,,Other,375,0.56,36552,60920,106778,0.6,0.9,0.302,healthcare,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,faculty,,Faculty,5000,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,research_staff,,Research Staff,3000,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,4000,0.63,29352,48920,73276,0.85,0.9,0.482,higher_education,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,student_services,,Student Services,2000,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,facilities,,Facilities,2000,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,it_staff,,It Staff,1600,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,management,11-1021,General and Operations Managers,1000,0.63,86136,143560,225890,0.85,0.9,0.482,higher_education,employer_db:990_filing,inferred_archetype
Harvard University,Cambridge,MA,other,,Other,1400,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,faculty,,Faculty,3250,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,research_staff,,Research Staff,1950,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,administrative,43-6014,Secretaries and Administrative Assistants,2600,0.63,29352,48920,73276,0.85,0.9,0.482,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,student_services,,Student Services,1300,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,facilities,,Facilities,1300,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,it_staff,,It Staff,1040,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,management,11-1021,General and Operations Managers,650,0.63,86136,143560,225890,0.85,0.9,0.482,higher_education,employer_db:990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,other,,Other,910,0.63,36552,60920,106778,0.6,0.9,0.34,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,faculty,,Faculty,2500,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,research_staff,,Research Staff,1500,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,2000,0.595,29352,48920,73276,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,student_services,,Student Services,1000,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,facilities,,Facilities,1000,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,it_staff,,It Staff,800,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,management,11-1021,General and Operations Managers,500,0.595,86136,143560,225890,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Boston University,Boston,MA,other,,Other,700,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,faculty,,Faculty,1500,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,research_staff,,Research Staff,900,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,administrative,43-6014,Secretaries and Administrative Assistants,1200,0.595,29352,48920,73276,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,student_services,,Student Services,600,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,facilities,,Facilities,600,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,it_staff,,It Staff,480,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,management,11-1021,General and Operations Managers,300,0.595,86136,143560,225890,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Northeastern University,Boston,MA,other,,Other,420,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,faculty,,Faculty,1375,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,research_staff,,Research Staff,825,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,administrative,43-6014,Secretaries and Administrative Assistants,1100,0.595,29352,48920,73276,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,student_services,,Student Services,550,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,facilities,,Facilities,550,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,it_staff,,It Staff,440,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,management,11-1021,General and Operations Managers,275,0.595,86136,143560,225890,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Tufts University,Medford,MA,other,,Other,385,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,faculty,,Faculty,1000,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,research_staff,,Research Staff,600,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,administrative,43-6014,Secretaries and Administrative Assistants,800,0.595,29352,48920,73276,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,student_services,,Student Services,400,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,facilities,,Facilities,400,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,it_staff,,It Staff,320,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,management,11-1021,General and Operations Managers,200,0.595,86136,143560,225890,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
Boston College,Chestnut Hill,MA,other,,Other,280,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,faculty,,Faculty,1625,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,research_staff,,Research Staff,975,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,administrative,43-6014,Secretaries and Administrative Assistants,1300,0.595,29352,48920,73276,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,student_services,,Student Services,650,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,facilities,,Facilities,650,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,it_staff,,It Staff,520,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,management,11-1021,General and Operations Managers,325,0.595,86136,143560,225890,0.85,0.9,0.455,higher_education,employer_db:990_filing,inferred_archetype
UMass Amherst,Amherst,MA,other,,Other,455,0.595,36552,60920,106778,0.6,0.9,0.321,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,faculty,,Faculty,375,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,research_staff,,Research Staff,225,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,administrative,43-6014,Secretaries and Administrative Assistants,300,0.56,29352,48920,73276,0.85,0.9,0.428,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,student_services,,Student Services,150,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,facilities,,Facilities,150,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,it_staff,,It Staff,120,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,management,11-1021,General and Operations Managers,75,0.56,86136,143560,225890,0.85,0.9,0.428,higher_education,employer_db:990_filing,inferred_archetype
Worcester Polytechnic Institute,Worcester,MA,other,,Other,105,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Brandeis University,Waltham,MA,faculty,,Faculty,500,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Brandeis University,Waltham,MA,research_staff,,Research Staff,300,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Brandeis University,Waltham,MA,administrative,43-6014,Secretaries and Administrative Assistants,400,0.56,29352,48920,73276,0.85,0.9,0.428,higher_education,employer_db:990_filing,inferred_archetype
Brandeis University,Waltham,MA,student_services,,Student Services,200,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Brandeis University,Waltham,MA,facilities,,Facilities,200,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Brandeis University,Waltham,MA,it_staff,,It Staff,160,0.56,36552,60920,106778,0.6,0.9,0.302,higher_education,employer_db:990_filing,inferred_archetype
Brandeis University,Waltham,MA,management,11-1021,General and Operations Managers,100,0.56,86136,143560,225890,0.85,0.9,0.428,higher_education,employer_db:990_filing,inferred_archetype
