employer_name,city,state,occupation,job_title,soc_code,estimated_headcount,salary_min,salary_median,salary_max,salary_confidence,headcount_confidence,location_confidence,overall_confidence,industry,source,record_type
Raytheon,Waltham,MA,technicians,Technicians,,3750,36552,60920,106778,0.6,0.56,0.9,0.302,defense,sec_10k,inferred_archetype
Raytheon,Waltham,MA,manufacturing,Manufacturing,,2500,36552,60920,106778,0.6,0.56,0.9,0.302,defense,sec_10k,inferred_archetype
Raytheon,Waltham,MA,management,General and Operations Managers,11-1021,2000,86136,143560,225890,0.85,0.56,0.9,0.428,defense,sec_10k,inferred_archetype
Raytheon,Waltham,MA,administrative,Secretaries and Administrative Assistants,43-6014,2000,29352,48920,73276,0.85,0.56,0.9,0.428,defense,sec_10k,inferred_archetype
Raytheon,Waltham,MA,security,Security,,1250,36552,60920,106778,0.6,0.56,0.9,0.302,defense,sec_10k,inferred_archetype
Raytheon,Waltham,MA,other,Other,,1000,36552,60920,106778,0.6,0.56,0.9,0.302,defense,sec_10k,inferred_archetype
Stop & Shop,Quincy,MA,sales_associates,Sales Associates,,11250,36552,60920,106778,0.6,0.525,0.9,0.283,retail,news_estimate,inferred_archetype
Stop & Shop,Quincy,MA,cashiers,Cashiers,,3750,36552,60920,106778,0.6,0.525,0.9,0.283,retail,news_estimate,inferred_archetype
Stop & Shop,Quincy,MA,stock_handlers,Stock Handlers,,3000,36552,60920,106778,0.6,0.525,0.9,0.283,retail,news_estimate,inferred_archetype
Stop & Shop,Quincy,MA,management,General and Operations Managers,11-1021,2500,86136,143560,225890,0.85,0.525,0.9,0.402,retail,news_estimate,inferred_archetype
Stop & Shop,Quincy,MA,customer_service,Customer Service,,2000,36552,60920,106778,0.6,0.525,0.9,0.283,retail,news_estimate,inferred_archetype
Stop & Shop,Quincy,MA,administrative,Secretaries and Administrative Assistants,43-6014,1250,29352,48920,73276,0.85,0.525,0.9,0.402,retail,news_estimate,inferred_archetype
Stop & Shop,Quincy,MA,other,Other,,1250,36552,60920,106778,0.6,0.525,0.9,0.283,retail,news_estimate,inferred_archetype
City of Boston,Boston,MA,police,Police,,2400,36552,60920,106778,0.6,0.665,0.9,0.359,government,city_payroll,inferred_archetype
City of Boston,Boston,MA,fire,Fire,,1000,36552,60920,106778,0.6,0.665,0.9,0.359,government,city_payroll,inferred_archetype
City of Boston,Boston,MA,teachers,Elementary School Teachers,25-2021,5000,44736,74560,109676,0.85,0.665,0.9,0.509,government,city_payroll,inferred_archetype
City of Boston,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,4000,29352,48920,73276,0.85,0.665,0.9,0.509,government,city_payroll,inferred_archetype
City of Boston,Boston,MA,social_workers,Social Workers,,1600,36552,60920,106778,0.6,0.665,0.9,0.359,government,city_payroll,inferred_archetype
City of Boston,Boston,MA,maintenance,Maintenance,,2000,36552,60920,106778,0.6,0.665,0.9,0.359,government,city_payroll,inferred_archetype
City of Boston,Boston,MA,management,General and Operations Managers,11-1021,1600,86136,143560,225890,0.85,0.665,0.9,0.509,government,city_payroll,inferred_archetype
City of Boston,Boston,MA,other,Other,,2400,36552,60920,106778,0.6,0.665,0.9,0.359,government,city_payroll,inferred_archetype
Harvard University,Cambridge,MA,faculty,Faculty,,5000,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Harvard University,Cambridge,MA,research_staff,Research Staff,,3000,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Harvard University,Cambridge,MA,administrative,Secretaries and Administrative Assistants,43-6014,4000,29352,48920,73276,0.85,0.63,0.9,0.482,higher_education,990_filing,inferred_archetype
Harvard University,Cambridge,MA,student_services,Student Services,,2000,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Harvard University,Cambridge,MA,facilities,Facilities,,2000,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Harvard University,Cambridge,MA,it_staff,It Staff,,1600,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Harvard University,Cambridge,MA,management,General and Operations Managers,11-1021,1000,86136,143560,225890,0.85,0.63,0.9,0.482,higher_education,990_filing,inferred_archetype
Harvard University,Cambridge,MA,other,Other,,1400,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,registered_nurses,Registered Nurses,29-1141,4500,59004,98340,146552,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,physicians,Physicians,29-1216,1440,151404,252340,366030,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,medical_technicians,Medical Technicians,,2160,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,healthcare_support,Healthcare Support,,2700,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,2700,29352,48920,73276,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,management,General and Operations Managers,11-1021,900,86136,143560,225890,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,facilities,Facilities,,900,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Brigham and Women's Hospital,Boston,MA,other,Other,,2700,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
TJX Companies,Framingham,MA,sales_associates,Sales Associates,,6750,36552,60920,106778,0.6,0.56,0.9,0.302,retail,sec_10k,inferred_archetype
TJX Companies,Framingham,MA,cashiers,Cashiers,,2250,36552,60920,106778,0.6,0.56,0.9,0.302,retail,sec_10k,inferred_archetype
TJX Companies,Framingham,MA,stock_handlers,Stock Handlers,,1800,36552,60920,106778,0.6,0.56,0.9,0.302,retail,sec_10k,inferred_archetype
TJX Companies,Framingham,MA,management,General and Operations Managers,11-1021,1500,86136,143560,225890,0.85,0.56,0.9,0.428,retail,sec_10k,inferred_archetype
TJX Companies,Framingham,MA,customer_service,Customer Service,,1200,36552,60920,106778,0.6,0.56,0.9,0.302,retail,sec_10k,inferred_archetype
TJX Companies,Framingham,MA,administrative,Secretaries and Administrative Assistants,43-6014,750,29352,48920,73276,0.85,0.56,0.9,0.428,retail,sec_10k,inferred_archetype
TJX Companies,Framingham,MA,other,Other,,750,36552,60920,106778,0.6,0.56,0.9,0.302,retail,sec_10k,inferred_archetype
UMass Memorial Health Care,Worcester,MA,registered_nurses,Registered Nurses,29-1141,3750,59004,98340,146552,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,physicians,Physicians,29-1216,1200,151404,252340,366030,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,medical_technicians,Medical Technicians,,1800,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,healthcare_support,Healthcare Support,,2250,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,administrative,Secretaries and Administrative Assistants,43-6014,2250,29352,48920,73276,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,management,General and Operations Managers,11-1021,750,86136,143560,225890,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,facilities,Facilities,,750,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
UMass Memorial Health Care,Worcester,MA,other,Other,,2250,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Fidelity Investments,Boston,MA,financial_analysts,Financial Analysts,13-2051,2250,65922,109870,171430,0.85,0.56,0.9,0.428,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,accountants,Accountants and Auditors,13-2011,1800,51804,86340,135688,0.85,0.56,0.9,0.428,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,software_developers,Software Developers,15-1252,2250,84138,140230,204246,0.85,0.56,0.9,0.428,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,customer_service,Customer Service,,1800,36552,60920,106778,0.6,0.56,0.9,0.302,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,sales,Sales and Related Occupations,41-0000,1500,23352,38920,76048,0.85,0.56,0.9,0.428,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,management,General and Operations Managers,11-1021,1500,86136,143560,225890,0.85,0.56,0.9,0.428,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,1800,29352,48920,73276,0.85,0.56,0.9,0.428,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,compliance,Compliance,,1200,36552,60920,106778,0.6,0.56,0.9,0.302,finance,news_estimate,inferred_archetype
Fidelity Investments,Boston,MA,other,Other,,900,36552,60920,106778,0.6,0.56,0.9,0.302,finance,news_estimate,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,faculty,Faculty,,3250,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,research_staff,Research Staff,,1950,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,administrative,Secretaries and Administrative Assistants,43-6014,2600,29352,48920,73276,0.85,0.63,0.9,0.482,higher_education,990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,student_services,Student Services,,1300,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,facilities,Facilities,,1300,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,it_staff,It Staff,,1040,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,management,General and Operations Managers,11-1021,650,86136,143560,225890,0.85,0.63,0.9,0.482,higher_education,990_filing,inferred_archetype
Massachusetts Institute of Technology,Cambridge,MA,other,Other,,910,36552,60920,106778,0.6,0.63,0.9,0.34,higher_education,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,registered_nurses,Registered Nurses,29-1141,3000,59004,98340,146552,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,physicians,Physicians,29-1216,960,151404,252340,366030,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,medical_technicians,Medical Technicians,,1440,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,healthcare_support,Healthcare Support,,1800,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,1800,29352,48920,73276,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,management,General and Operations Managers,11-1021,600,86136,143560,225890,0.85,0.63,0.9,0.482,healthcare,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,facilities,Facilities,,600,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
Boston Children's Hospital,Boston,MA,other,Other,,1800,36552,60920,106778,0.6,0.63,0.9,0.34,healthcare,990_filing,inferred_archetype
State Street Corporation,Boston,MA,financial_analysts,Financial Analysts,13-2051,1800,65922,109870,171430,0.85,0.595,0.9,0.455,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,accountants,Accountants and Auditors,13-2011,1440,51804,86340,135688,0.85,0.595,0.9,0.455,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,software_developers,Software Developers,15-1252,1800,84138,140230,204246,0.85,0.595,0.9,0.455,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,customer_service,Customer Service,,1440,36552,60920,106778,0.6,0.595,0.9,0.321,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,sales,Sales and Related Occupations,41-0000,1200,23352,38920,76048,0.85,0.595,0.9,0.455,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,management,General and Operations Managers,11-1021,1200,86136,143560,225890,0.85,0.595,0.9,0.455,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,1440,29352,48920,73276,0.85,0.595,0.9,0.455,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,compliance,Compliance,,960,36552,60920,106778,0.6,0.595,0.9,0.321,finance,sec_10k,inferred_archetype
State Street Corporation,Boston,MA,other,Other,,720,36552,60920,106778,0.6,0.595,0.9,0.321,finance,sec_10k,inferred_archetype
Baystate Health,Springfield,MA,registered_nurses,Registered Nurses,29-1141,3000,59004,98340,146552,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Baystate Health,Springfield,MA,physicians,Physicians,29-1216,960,151404,252340,366030,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Baystate Health,Springfield,MA,medical_technicians,Medical Technicians,,1440,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Baystate Health,Springfield,MA,healthcare_support,Healthcare Support,,1800,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Baystate Health,Springfield,MA,administrative,Secretaries and Administrative Assistants,43-6014,1800,29352,48920,73276,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Baystate Health,Springfield,MA,management,General and Operations Managers,11-1021,600,86136,143560,225890,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Baystate Health,Springfield,MA,facilities,Facilities,,600,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Baystate Health,Springfield,MA,other,Other,,1800,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Boston University,Boston,MA,faculty,Faculty,,2500,36552,60920,106778,0.6,0.595,0.9,0.321,higher_education,990_filing,inferred_archetype
Boston University,Boston,MA,research_staff,Research Staff,,1500,36552,60920,106778,0.6,0.595,0.9,0.321,higher_education,990_filing,inferred_archetype
Boston University,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,2000,29352,48920,73276,0.85,0.595,0.9,0.455,higher_education,990_filing,inferred_archetype
Boston University,Boston,MA,student_services,Student Services,,1000,36552,60920,106778,0.6,0.595,0.9,0.321,higher_education,990_filing,inferred_archetype
Boston University,Boston,MA,facilities,Facilities,,1000,36552,60920,106778,0.6,0.595,0.9,0.321,higher_education,990_filing,inferred_archetype
Boston University,Boston,MA,it_staff,It Staff,,800,36552,60920,106778,0.6,0.595,0.9,0.321,higher_education,990_filing,inferred_archetype
Boston University,Boston,MA,management,General and Operations Managers,11-1021,500,86136,143560,225890,0.85,0.595,0.9,0.455,higher_education,990_filing,inferred_archetype
Boston University,Boston,MA,other,Other,,700,36552,60920,106778,0.6,0.595,0.9,0.321,higher_education,990_filing,inferred_archetype
Wayfair,Boston,MA,software_developers,Software Developers,15-1252,3200,84138,140230,204246,0.85,0.525,0.9,0.402,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,data_scientists,Data Scientists,15-2051,640,73668,122780,179830,0.85,0.525,0.9,0.402,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,product_managers,Product Managers,,640,36552,60920,106778,0.6,0.525,0.9,0.283,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,designers,Designers,,400,36552,60920,106778,0.6,0.525,0.9,0.283,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,sales,Sales and Related Occupations,41-0000,960,23352,38920,76048,0.85,0.525,0.9,0.402,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,management,General and Operations Managers,11-1021,640,86136,143560,225890,0.85,0.525,0.9,0.402,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,640,29352,48920,73276,0.85,0.525,0.9,0.402,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,support,Support,,480,36552,60920,106778,0.6,0.525,0.9,0.283,technology,sec_10k,inferred_archetype
Wayfair,Boston,MA,other,Other,,400,36552,60920,106778,0.6,0.525,0.9,0.283,technology,sec_10k,inferred_archetype
Market Basket,Tewksbury,MA,sales_associates,Sales Associates,,3600,36552,60920,106778,0.6,0.49,0.9,0.265,retail,news_estimate,inferred_archetype
Market Basket,Tewksbury,MA,cashiers,Cashiers,,1200,36552,60920,106778,0.6,0.49,0.9,0.265,retail,news_estimate,inferred_archetype
Market Basket,Tewksbury,MA,stock_handlers,Stock Handlers,,960,36552,60920,106778,0.6,0.49,0.9,0.265,retail,news_estimate,inferred_archetype
Market Basket,Tewksbury,MA,management,General and Operations Managers,11-1021,800,86136,143560,225890,0.85,0.49,0.9,0.375,retail,news_estimate,inferred_archetype
Market Basket,Tewksbury,MA,customer_service,Customer Service,,640,36552,60920,106778,0.6,0.49,0.9,0.265,retail,news_estimate,inferred_archetype
Market Basket,Tewksbury,MA,administrative,Secretaries and Administrative Assistants,43-6014,400,29352,48920,73276,0.85,0.49,0.9,0.375,retail,news_estimate,inferred_archetype
Market Basket,Tewksbury,MA,other,Other,,400,36552,60920,106778,0.6,0.49,0.9,0.265,retail,news_estimate,inferred_archetype
City of Worcester,Worcester,MA,police,Police,,960,36552,60920,106778,0.6,0.595,0.9,0.321,government,web_estimate,inferred_archetype
City of Worcester,Worcester,MA,fire,Fire,,400,36552,60920,106778,0.6,0.595,0.9,0.321,government,web_estimate,inferred_archetype
City of Worcester,Worcester,MA,teachers,Elementary School Teachers,25-2021,2000,44736,74560,109676,0.85,0.595,0.9,0.455,government,web_estimate,inferred_archetype
City of Worcester,Worcester,MA,administrative,Secretaries and Administrative Assistants,43-6014,1600,29352,48920,73276,0.85,0.595,0.9,0.455,government,web_estimate,inferred_archetype
City of Worcester,Worcester,MA,social_workers,Social Workers,,640,36552,60920,106778,0.6,0.595,0.9,0.321,government,web_estimate,inferred_archetype
City of Worcester,Worcester,MA,maintenance,Maintenance,,800,36552,60920,106778,0.6,0.595,0.9,0.321,government,web_estimate,inferred_archetype
City of Worcester,Worcester,MA,management,General and Operations Managers,11-1021,640,86136,143560,225890,0.85,0.595,0.9,0.455,government,web_estimate,inferred_archetype
City of Worcester,Worcester,MA,other,Other,,960,36552,60920,106778,0.6,0.595,0.9,0.321,government,web_estimate,inferred_archetype
Liberty Mutual,Boston,MA,financial_analysts,Financial Analysts,13-2051,1200,65922,109870,171430,0.85,0.525,0.9,0.402,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,accountants,Accountants and Auditors,13-2011,960,51804,86340,135688,0.85,0.525,0.9,0.402,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,software_developers,Software Developers,15-1252,1200,84138,140230,204246,0.85,0.525,0.9,0.402,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,customer_service,Customer Service,,960,36552,60920,106778,0.6,0.525,0.9,0.283,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,sales,Sales and Related Occupations,41-0000,800,23352,38920,76048,0.85,0.525,0.9,0.402,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,management,General and Operations Managers,11-1021,800,86136,143560,225890,0.85,0.525,0.9,0.402,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,960,29352,48920,73276,0.85,0.525,0.9,0.402,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,compliance,Compliance,,640,36552,60920,106778,0.6,0.525,0.9,0.283,finance,news_estimate,inferred_archetype
Liberty Mutual,Boston,MA,other,Other,,480,36552,60920,106778,0.6,0.525,0.9,0.283,finance,news_estimate,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,registered_nurses,Registered Nurses,29-1141,2000,59004,98340,146552,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,physicians,Physicians,29-1216,640,151404,252340,366030,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,medical_technicians,Medical Technicians,,960,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,healthcare_support,Healthcare Support,,1200,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,1200,29352,48920,73276,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,management,General and Operations Managers,11-1021,400,86136,143560,225890,0.85,0.595,0.9,0.455,healthcare,990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,facilities,Facilities,,400,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Beth Israel Deaconess Medical Center,Boston,MA,other,Other,,1200,36552,60920,106778,0.6,0.595,0.9,0.321,healthcare,990_filing,inferred_archetype
Amazon,Boston,MA,software_developers,Software Developers,15-1252,3200,84138,140230,204246,0.85,0.49,0.9,0.375,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,data_scientists,Data Scientists,15-2051,640,73668,122780,179830,0.85,0.49,0.9,0.375,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,product_managers,Product Managers,,640,36552,60920,106778,0.6,0.49,0.9,0.265,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,designers,Designers,,400,36552,60920,106778,0.6,0.49,0.9,0.265,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,sales,Sales and Related Occupations,41-0000,960,23352,38920,76048,0.85,0.49,0.9,0.375,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,management,General and Operations Managers,11-1021,640,86136,143560,225890,0.85,0.49,0.9,0.375,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,administrative,Secretaries and Administrative Assistants,43-6014,640,29352,48920,73276,0.85,0.49,0.9,0.375,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,support,Support,,480,36552,60920,106778,0.6,0.49,0.9,0.265,technology,h1b_filings,inferred_archetype
Amazon,Boston,MA,other,Other,,400,36552,60920,106778,0.6,0.49,0.9,0.265,technology,h1b_filings,inferred_archetype
Biogen,Cambridge,MA,scientists,Medical Scientists,19-1042,2625,53604,89340,138264,0.85,0.595,0.9,0.455,biotech,sec_10k,inferred_archetype
Biogen,Cambridge,MA,research_associates,Research Associates,,1125,36552,60920,106778,0.6,0.595,0.9,0.321,biotech,sec_10k,inferred_archetype
Biogen,Cambridge,MA,manufacturing,Manufacturing,,900,36552,60920,106778,0.6,0.595,0.9,0.321,biotech,sec_10k,inferred_archetype
Biogen,Cambridge,MA,quality_control,Quality Control,,600,36552,60920,106778,0.6,0.595,0.9,0.321,biotech,sec_10k,inferred_archetype
